1234; 198234
87; 441902
1667; 2389
319; 120345
4; 9876
1955; 443210
710; 34192
1999; 287199
42; 51000
1555; 30984
63; 271134
1400; 189234
301; 47110
1970; 492000
12; 250001
812; 104500
1899; 312400
102; 98777
1844; 4422
228; 273000
59; 500000
1601; 4321
39; 140987
888; 72100
1712; 390200
95; 12001
1511; 341000
6; 4100
1766; 198444
789; 47000
126; 202020
1943; 360000
808; 199000
237; 38291
1050; 174400
1722; 332100
999; 282000
122; 49210
1644; 375500
213; 127000
48; 75000
1900; 195000
610; 20100
1432; 120000
101; 97000
397; 411111
13; 45500
1823; 309999
114; 228888
1466; 420500
